"price","profit","visitors","age","time"
7500,575,23310,500,2016-03-25
5100,16,10352,2569,2016-03-25
3000,80,90493,2811,2016-03-24
90,49,5282,470,2016-03-24
470,4,322,378,2016-03-23
400,0,0,226,2016-03-23
110,5,645,3087,2016-03-23
6000,121,54748,3848,2016-03-23
4450,522,43886,1808,2016-03-23
250,34,886,835,2016-03-22
400,45,10118,500,2016-03-21
110,0,876,255,2016-03-21
5250,641,41626,1595,2016-03-21
2500,117,1287,439,2016-03-20
3500,270,168681,1322,2016-03-19
1495,-4,273,985,2016-03-19
750,190,3313,1473,2016-03-19
2000,70,14521,561,2016-03-18
227,1,0,3938,2016-03-18
150,4,1539,2964,2016-03-18
500,65,2884,317,2016-03-17
225,-14,113,592,2016-03-17
500,11,3801,1291,2016-03-16
305,9,560,773,2016-03-16
2500,7,6367,2691,2016-03-16
905,520,3676,1442,2016-03-16
2501,88,11560,1381,2016-03-15
1300,158,6190,835,2016-03-15
30,-1,438,651,2016-03-14
400,195,5740,926,2016-03-14
75,-1,371,378,2016-03-14
1200,135,12535,439,2016-03-13
135,0,1133,226,2016-03-13
1500,187,0,1839,2016-03-12
150,0,42,439,2016-03-11
1500,26,2178,1350,2016-03-11
125,-5,30,317,2016-03-10
2000,127,122571,439,2016-03-10
6400,326,39990,1016,2016-03-10
3650,344,10466,1230,2016-03-10
9750,352,1701,4517,2016-03-10
4000,159,125812,2477,2016-03-10
2500,263,7613,1565,2016-03-10
1900,150,12710,896,2016-03-10
555,44,462,592,2016-03-10
100,0,38,1108,2016-03-10
100,19,1898,408,2016-03-09
2500,51,27876,1350,2016-03-09
100,0,47,317,2016-03-09
500,9,34,500,2016-03-09
119,7,1552,926,2016-03-08
315,150,11873,500,2016-03-08
150,0,78,347,2016-03-08
1200,27,1169,682,2016-03-08
20,0,90,1869,2016-03-08
250,688,127835,317,2016-03-07
300,14,691,408,2016-03-07
355,18,12590,1077,2016-03-07
551,32,70875,347,2016-03-07
195,-9,1549,865,2016-03-07
550,29,2039,1473,2016-03-07
600,0,4903,1350,2016-03-06
770,100,2731,1322,2016-03-06
3100,331,35451,470,2016-03-06
348,18,2695,500,2016-03-06
1500,546,292,592,2016-03-05
1111,473,560,470,2016-03-05
181,51,6601,1350,2016-03-04
300,4,2163,1200,2016-03-04
1200,395,15062,500,2016-03-04
3500,0,6435,3087,2016-03-04
1350,73,56697,500,2016-03-04
999,177,4539,378,2016-03-03
200,51,510,470,2016-03-03
601,15,3820,1230,2016-03-03
245,1,1285,347,2016-03-03
75,18,57,651,2016-03-03
75,0,667,439,2016-03-03
2601,-1,40491,347,2016-03-03
750,11,6603,2569,2016-03-02
1355,61,27675,3422,2016-03-02
80,0,1200,439,2016-03-02
300,88,0,408,2016-03-01
197,0,17,1992,2016-03-01
355,0,185,1200,2016-03-01
300,2,0,2265,2016-03-01
2050,-5,715,2538,2016-03-01
300,9,1537,712,2016-03-01
600,31,474,620,2016-02-29
100,0,53,712,2016-02-29
50,3,237,712,2016-02-29
100,10,33,1047,2016-02-29
190,28,28,500,2016-02-28
7150,178,7838,2569,2016-02-28
800,23,8828,408,2016-02-28
1750,-9,0,835,2016-02-28
5000,185,13326,1322,2016-02-28
408,0,199,286,2016-02-27
4500,97,45110,865,2016-02-27
1150,34,3642,4395,2016-02-27
399,32,2247,1291,2016-02-26
50,6,2409,804,2016-02-26
7501,692,107706,682,2016-02-26
5100,9,6083,3604,2016-02-25
1000,35,7496,773,2016-02-25
200,-1,891,2053,2016-02-25
2800,119,167972,743,2016-02-24
100,0,119,286,2016-02-24
306,20,3216,1350,2016-02-24
249,16,330,378,2016-02-24
1200,73,7336,439,2016-02-24
2850,30,3744,531,2016-02-23
550,95,0,1291,2016-02-23
500,1,6685,378,2016-02-23
300,28,6213,1747,2016-02-22
2450,111,1759,2112,2016-02-22
1250,71,188762,470,2016-02-22
160,5,0,3239,2016-02-22
1050,17,8373,561,2016-02-21
3000,89,41085,1595,2016-02-21
3500,477,8943,378,2016-02-20
4250,256,2718,4853,2016-02-20
50,3,6,620,2016-02-19
126,2,1508,985,2016-02-19
50,-2,16,2296,2016-02-19
1200,7,3287,1047,2016-02-18
450,13,2668,561,2016-02-18
220,-1,76,561,2016-02-18
1251,41,1405,500,2016-02-18
900,44,1699,926,2016-02-18
215,9,1507,773,2016-02-18
3000,259,1639,957,2016-02-18
